month,segment,vintage,total_accounts,delinq_30,delinq_60,delinq_90,charge_off_rate
2025-01-31,PRIME,2024Q1,45000,0.025,0.012,0.008,0.003
2025-01-31,PRIME,2024Q2,52000,0.022,0.010,0.007,0.002
2025-01-31,NEAR_PRIME,2024Q1,38000,0.045,0.025,0.018,0.008
2025-01-31,NEAR_PRIME,2024Q2,41000,0.042,0.023,0.016,0.007
2025-01-31,SUBPRIME,2024Q1,28000,0.085,0.055,0.042,0.025
2025-01-31,SUBPRIME,2024Q2,31000,0.082,0.052,0.039,0.023
2025-02-28,PRIME,2024Q1,44800,0.028,0.014,0.009,0.004
2025-02-28,PRIME,2024Q2,51800,0.024,0.012,0.008,0.003
2025-02-28,NEAR_PRIME,2024Q1,37900,0.048,0.027,0.020,0.009
2025-02-28,NEAR_PRIME,2024Q2,40800,0.045,0.025,0.018,0.008
2025-02-28,SUBPRIME,2024Q1,27800,0.088,0.058,0.045,0.027
2025-02-28,SUBPRIME,2024Q2,30900,0.085,0.055,0.042,0.025
2025-03-31,PRIME,2024Q1,44600,0.026,0.013,0.008,0.003
2025-03-31,PRIME,2024Q2,51600,0.023,0.011,0.007,0.002
2025-03-31,NEAR_PRIME,2024Q1,37750,0.046,0.026,0.019,0.008
2025-03-31,NEAR_PRIME,2024Q2,40650,0.043,0.024,0.017,0.007
2025-03-31,SUBPRIME,2024Q1,27650,0.086,0.056,0.043,0.026
2025-03-31,SUBPRIME,2024Q2,30750,0.083,0.053,0.040,0.024
2025-04-30,PRIME,2024Q1,44400,0.029,0.015,0.010,0.005
2025-04-30,PRIME,2024Q2,51400,0.026,0.013,0.009,0.004
2025-04-30,NEAR_PRIME,2024Q1,37600,0.049,0.028,0.021,0.010
2025-04-30,NEAR_PRIME,2024Q2,40500,0.046,0.026,0.019,0.009
2025-04-30,SUBPRIME,2024Q1,27500,0.089,0.059,0.046,0.028
2025-04-30,SUBPRIME,2024Q2,30600,0.086,0.056,0.043,0.026
2025-05-31,PRIME,2024Q1,44200,0.027,0.014,0.009,0.004
2025-05-31,PRIME,2024Q2,51200,0.024,0.012,0.008,0.003
2025-05-31,NEAR_PRIME,2024Q1,37450,0.047,0.027,0.020,0.009
2025-05-31,NEAR_PRIME,2024Q2,40350,0.044,0.025,0.018,0.008
2025-05-31,SUBPRIME,2024Q1,27350,0.087,0.057,0.044,0.027
2025-05-31,SUBPRIME,2024Q2,30450,0.084,0.054,0.041,0.025
2025-06-30,PRIME,2024Q1,44000,0.030,0.016,0.011,0.006
2025-06-30,PRIME,2024Q2,51000,0.027,0.014,0.010,0.005
2025-06-30,NEAR_PRIME,2024Q1,37300,0.050,0.029,0.022,0.011
2025-06-30,NEAR_PRIME,2024Q2,40200,0.047,0.027,0.020,0.010
2025-06-30,SUBPRIME,2024Q1,27200,0.090,0.060,0.047,0.029
2025-06-30,SUBPRIME,2024Q2,30300,0.087,0.057,0.044,0.027
2025-07-31,PRIME,2024Q1,43800,0.025,0.012,0.008,0.003
2025-07-31,PRIME,2024Q2,50800,0.022,0.010,0.007,0.002
2025-07-31,NEAR_PRIME,2024Q1,37150,0.044,0.024,0.017,0.007
2025-07-31,NEAR_PRIME,2024Q2,40050,0.041,0.022,0.015,0.006
2025-07-31,SUBPRIME,2024Q1,27050,0.084,0.053,0.040,0.024
2025-07-31,SUBPRIME,2024Q2,30150,0.081,0.050,0.037,0.022
